date;region;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;effectif;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron
2021-05-31;ARA;Complet entre 3 mois et 6 mois - sans rappel;774.81;54.48;8.63;3.15;0.0;0.0;0.0;0.0;173303.81;0;0;NA;NA
2021-05-31;BFC;Non-vaccinés;6421.15;1082.56;442.11;202.13;6.67;6.67;4.0;3.0;1683578.86;9.78;8.33;100;100
2021-05-31;BFC;Complet de moins de 3 mois - sans rappel;1646.57;122.71;50.2;21.63;5.33;4.33;1.0;1.0;381502.86;0;0;100;100
2021-05-31;BRE;Complet de moins de 3 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.85;NA;NA;NA;NA
2021-05-31;COR;Primo dose récente;87.86;1.13;0.18;0.0;0.0;0.0;0.0;0.0;13148.83;0;NA;NA;NA
2021-05-31;COR;Complet de moins de 3 mois - sans rappel;585.03;13.1;1.0;0.0;0.0;0.0;0.0;0.0;70454.8;NA;NA;NA;NA
2021-05-31;CVL;Primo dose récente;574.72;70.38;28.62;22.18;0.0;0.0;0.67;0.67;200055.28;37.26;28.57;NA;NA
2021-05-31;GUA;Non-vaccinés;725.79;54.25;45.89;10.43;8.88;7.88;3.0;2.0;311437.61;0;NA;NA;NA
2021-05-31;GUA;Primo dose efficace;193.12;8.1;2.09;0.0;0.12;0.12;0.0;0.0;37248.38;NA;NA;NA;NA
2021-05-31;GUA;Complet de moins de 3 mois - sans rappel;135.7;6.9;3.87;2.57;0.0;0.0;0.0;0.0;16385.08;NA;NA;NA;NA
2021-05-31;GUY;Primo dose efficace;74.89;10.46;4.7;1.68;0.0;0.0;0.08;0.0;14185.3;0;NA;NA;NA
2021-05-31;GUY;Complet de moins de 3 mois - sans rappel;159.87;15.71;6.78;4.46;0.0;0.0;0.31;0.0;18121.47;0;0;NA;NA
2021-05-31;GUY;Primo dose récente;42.15;12.73;9.02;4.07;0.0;0.0;0.11;0.0;5866.95;0;0;NA;NA
2021-05-31;GUY;Complet entre 3 mois et 6 mois - sans rappel;14.61;0.51;0.0;0.0;0.0;0.0;0.0;0.0;1058.48;NA;NA;NA;NA
2021-05-31;HDF;Complet entre 3 mois et 6 mois - sans rappel;559.83;34.14;8.81;4.14;1.0;0.0;0.0;0.0;112807.2;100;100;NA;NA
2021-05-31;IDF;Primo dose récente;4766.02;230.63;163.98;51.49;3.05;3.05;0.0;0.0;1087175.32;21.47;32.26;NA;NA
2021-05-31;IDF;Complet entre 3 mois et 6 mois - sans rappel;1119.72;36.68;10.28;1.75;2.0;1.0;0.0;0.0;216995.15;64.74;100;NA;NA
2021-05-31;LRE;Non-vaccinés;2850.28;438.98;194.15;64.51;7.25;4.0;0.33;0.0;684918.69;0;0;0;NA
2021-05-31;LRE;Primo dose récente;243.68;38.21;7.88;3.56;0.62;0.0;0.0;0.0;48612.57;NA;NA;NA;NA
2021-05-31;LRE;Complet entre 3 mois et 6 mois - sans rappel;43.98;1.58;1.06;0.0;0.0;0.0;0.0;0.0;3717.49;NA;NA;NA;NA
2021-05-31;MAR;Non-vaccinés;442.18;22.35;15.89;4.89;0.81;0.0;0.0;0.0;305122.77;0;0;NA;NA
2021-05-31;MAR;Primo dose efficace;72.85;1.64;1.0;1.0;0.03;0.0;0.0;0.0;16479.88;0;0;NA;NA
2021-05-31;MAR;Primo dose récente;23.46;1.11;0.11;0.11;0.03;0.0;0.0;0.0;4377.97;NA;NA;NA;NA
2021-05-31;MAY;Non-vaccinés;202.5;11.25;2.0;0.0;0.0;0.0;0.0;0.0;257321.6;NA;NA;NA;NA
2021-05-31;MAY;Complet de moins de 3 mois - sans rappel;89.31;1.25;1.0;0.0;0.0;0.0;0.0;0.0;14028.89;NA;NA;NA;NA
2021-05-31;MAY;Complet entre 3 mois et 6 mois - sans rappel;4.54;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1078.51;NA;NA;NA;NA
2021-05-31;NAQ;Non-vaccinés;14116.94;1702.66;629.85;283.48;8.67;6.0;4.0;4.0;3516731.25;1;1.89;100;NA
2021-05-31;NAQ;Primo dose efficace;3956.34;229.55;27.53;10.01;0.07;0.0;0.0;0.0;1007971.39;0;0;NA;NA
2021-05-31;NAQ;Complet entre 3 mois et 6 mois - sans rappel;816.6;55.92;9.02;3.21;0.07;0.0;0.0;0.0;171358.25;0;NA;NA;NA
2021-05-31;NOR;Non-vaccinés;7002.24;1224.63;492.04;218.4;21.6;14.0;3.0;3.0;1932857.33;49.74;51.03;33.33;NA
2021-05-31;OCC;Non-vaccinés;14264.74;1760.61;676.52;297.58;11.87;7.0;6.75;5.75;3639277.75;10.98;10.24;NA;NA
2021-05-31;OCC;Primo dose efficace;4268.88;236.3;38.38;12.93;4.07;3.0;1.0;1.0;933411.56;19.65;25;NA;NA
2021-05-31;PAC;Complet de moins de 3 mois - sans rappel;5038.55;146.96;44.45;11.52;7.03;2.38;1.0;1.0;812700.86;17.91;0;NA;NA
2021-05-31;PAC;Complet entre 3 mois et 6 mois - sans rappel;945.77;28.88;22.31;1.2;0.07;0.0;0.0;0.0;120208.38;0;NA;NA;NA
2021-05-31;PDL;Primo dose efficace;2127.33;206.5;25.11;11.75;2.0;1.0;0.5;0.5;628926.62;29.41;41.67;NA;NA
2021-05-31;PDL;Complet entre 3 mois et 6 mois - sans rappel;473.48;29.41;13.19;2.33;1.0;1.0;0.0;0.0;86029.94;0;0;0;NA
2021-06-01;ARA;Primo dose efficace;3604.2;315.74;42.85;18.15;3.12;3.12;0.31;0.31;1244985.65;0;0;89.29;100
2021-06-01;ARA;Complet de moins de 3 mois - sans rappel;3670.55;236.7;75.78;27.35;2.61;2.04;3.57;1.57;1116990.12;0;0;0;33.33
2021-06-01;BFC;Complet entre 3 mois et 6 mois - sans rappel;312.98;18.33;7.0;3.0;0.05;0.05;0.0;0.0;94911.64;0;NA;NA;NA
2021-06-01;BRE;Non-vaccinés;6830.61;1157.57;248.19;99.48;7.0;6.0;1.0;1.0;1970256.56;12.29;7.93;0;NA
2021-06-01;BRE;Complet de moins de 3 mois - sans rappel;1328.13;94.76;22.26;6.26;2.0;1.0;0.0;0.0;470447.9;0;0;NA;NA
2021-06-01;BRE;Complet de moins de 3 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.85;NA;NA;NA;NA
2021-06-01;COR;Non-vaccinés;903.46;56.52;9.54;3.0;0.0;0.0;0.0;0.0;199233.23;0;0;NA;NA
2021-06-01;COR;Complet entre 3 mois et 6 mois - sans rappel;80.05;2.24;0.1;0.0;0.0;0.0;0.0;0.0;10072.41;0;NA;NA;NA
2021-06-01;CVL;Complet de moins de 3 mois - sans rappel;1031.62;79.41;25.09;10.59;0.0;0.0;0.0;0.0;339702.69;9.39;21.51;NA;NA
2021-06-01;GES;Complet de moins de 3 mois - sans rappel;2708.11;179.56;38.09;15.0;1.69;1.47;0.0;0.0;769304.68;2.1;7.67;NA;NA
2021-06-01;GUY;Primo dose récente;35.61;5.51;8.69;2.85;0.0;0.0;0.0;0.0;5775.95;0;0;NA;NA
