date;vac_statut;age;nb_PCR;nb_PCR_sympt;nb_PCR+_sympt;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron;DC_pourcent_omicron;HC_PCR+_pour_covid;SC_PCR+_pour_covid;DC_PCR+_pour_covid
2021-05-31;Non-vaccinés;[0,19];50574.26;8648.4;840.27;2607.18;4.11;1.0;0.0;0.0;0.0;0.0;15784948.09;28.29;28.02;NA;NA;NA;1.0;0.0;0.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[0,19];4.82;1.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;821.99;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-05-31;Non-vaccinés;[40,59];34561.51;3930.14;997.47;2277.58;100.23;70.34;28.24;22.0;1.0;0.0;9310368.18;22.97;24.39;12.5;33.33;NA;60.34;21.0;0.0
2021-05-31;Primo dose efficace;[40,59];14675.15;1068.86;76.69;200.89;7.46;6.17;3.14;1.0;1.0;0.0;3644279.1;26.61;24.6;100;NA;NA;6.17;1.0;0.0
2021-05-31;Complet de moins de 3 mois - sans rappel;[40,59];8809.88;549.21;153.54;348.44;5.94;3.17;2.47;1.0;0.0;0.0;1736658.49;30.7;26.38;0;NA;NA;1.17;0.0;0.0
2021-05-31;Primo dose efficace;[60,79];18484.58;1050.98;51.76;186.19;19.52;13.38;4.4;3.73;3.48;2.0;4847772.87;27.27;42.5;0;NA;NA;8.38;2.73;2.0
2021-05-31;Complet de moins de 3 mois - sans rappel;[60,79];20725.25;760.26;92.29;318.18;26.32;19.29;13.2;4.7;0.1;0.0;4449796.51;30.84;31.37;100;100;NA;17.29;3.7;0.0
2021-05-31;Non-vaccinés;"[80;+]";4713.81;306.26;44.1;193.37;48.42;38.28;6.5;3.0;16.66;8.66;893825.44;24.86;49.32;29.45;NA;NA;33.28;3.0;7.66
2021-06-01;Complet de moins de 3 mois - sans rappel;[0,19];150.35;10.42;2.13;7.13;0.9;0.21;0.07;0.07;0.0;0.0;28186.72;30.18;11.5;0;NA;NA;0.04;0.07;0.0
2021-06-01;Non-vaccinés;[20,39];44784.93;6187.75;986.77;2220.2;43.92;32.38;4.29;4.29;0.0;0.0;11851721.55;25.25;25.32;0;100;NA;22.31;4.29;0.0
2021-06-01;Non-vaccinés;[40,59];27481.73;3094.65;619.46;1517.1;103.14;69.0;25.5;23.0;1.0;1.0;9164021.69;22.46;20.72;28.57;0;NA;64.0;23.0;1.0
2021-06-01;Primo dose efficace;[40,59];11850.93;849.37;53.29;138.17;5.79;5.0;1.0;0.0;1.0;0.0;3810305.86;29.07;31.81;100;NA;NA;5.0;0.0;0.0
2021-06-01;Complet de moins de 3 mois - sans rappel;[40,59];7216.75;410.77;83.98;222.95;8.89;7.0;4.5;2.0;0.0;0.0;1749544.79;29.23;33.94;0;0;NA;7.0;2.0;0.0
2021-06-01;Non-vaccinés;[60,79];10810.22;842.77;154.7;489.17;79.6;55.78;27.91;22.0;7.0;6.0;3530162.81;31.33;27.09;20.45;33.33;100;49.78;22.0;6.0
2021-06-01;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2339.12;91.35;4.0;14.78;1.09;1.02;0.04;0.0;0.2;0.2;539144.36;21.69;NA;0;NA;NA;1.02;0.0;0.2
2021-06-01;Primo dose efficace;"[80;+]";2807.13;155.52;12.42;52.99;6.4;5.0;1.0;1.0;2.5;0.5;663567.12;35.17;23.09;NA;NA;NA;3.0;1.0;0.5
2021-06-01;Complet de moins de 3 mois - avec rappel;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.84;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-02;Non-vaccinés;[0,19];44445.09;6699.48;518.09;1759.8;6.38;3.67;0.67;0.67;1.0;0.0;15748825.96;19.84;19.01;NA;0;NA;1.0;0.67;0.0
2021-06-02;Primo dose efficace;[0,19];433.49;22.5;0.0;3.81;1.13;1.13;0.0;0.0;0.0;0.0;97190.78;96.3;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;[0,19];2.82;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;903.8;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-02;Non-vaccinés;[20,39];47259.53;5563.28;884.07;2139.85;50.48;38.48;9.0;7.0;0.0;0.0;11676175.35;19.92;20.61;35.21;0;NA;28.17;5.0;0.0
2021-06-02;Primo dose récente;[40,59];6018.65;486.79;82.09;181.0;5.28;4.18;1.49;1.45;0.0;0.0;2245350.05;20.53;19.72;100;NA;NA;4.18;1.45;0.0
2021-06-02;Complet de moins de 3 mois - sans rappel;[40,59];7598.71;363.17;69.96;195.54;6.6;4.31;0.67;0.0;0.0;0.0;1804580.77;16.75;11.46;NA;NA;NA;4.31;0.0;0.0
2021-06-02;Non-vaccinés;[60,79];9933.4;692.29;112.35;400.74;86.25;63.42;25.27;23.27;14.21;7.5;3477939.25;17.44;26.24;20;0;NA;59.56;23.27;7.5
2021-06-02;Primo dose récente;[60,79];1454.67;91.59;10.36;30.9;10.07;7.07;3.33;3.33;0.0;0.0;638331.53;13.86;0;0;NA;NA;6.93;3.33;0.0
