date;region;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;effectif;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron
2021-08-01;COR;Complet entre 3 mois et 6 mois - sans rappel;41.07;6.79;2.41;1.05;1.0;1.0;0.03;0.0;54355.35;0;0;0;NA
2021-08-01;CVL;Non-vaccinés;447.1;23.97;11.62;5.63;2.33;2.0;1.0;1.0;878266.05;12.56;21.6;50;0
2021-08-01;GES;Primo dose efficace;373.13;19.53;8.63;3.16;0.0;0.0;1.1;1.0;436303.55;0;0;NA;0
2021-08-01;GUA;Complet de moins de 3 mois - sans rappel;59.2;7.14;5.3;3.74;0.18;0.18;0.0;0.0;57097.35;5.57;0;0;NA
2021-08-01;GUA;Complet de 6 mois et plus - sans rappel;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.94;NA;NA;NA;NA
2021-08-01;GUY;Non-vaccinés;80.62;6.04;7.8;3.0;2.4;0.0;0.79;0.0;229766.8;0;NA;NA;NA
2021-08-01;HDF;Primo dose efficace;528.77;40.47;17.78;9.61;1.0;1.0;0.2;0.0;464974.42;0;0;0;NA
2021-08-01;HDF;Complet entre 3 mois et 6 mois - sans rappel;393.58;44.89;11.27;3.55;1.0;0.0;0.06;0.0;615289.63;16.03;0;NA;NA
2021-08-01;IDF;Complet entre 3 mois et 6 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.98;NA;NA;NA;NA
2021-08-01;LRE;Complet de moins de 3 mois - sans rappel;348.34;29.36;18.37;7.54;0.0;0.0;1.0;1.0;196223.29;10.8;14.79;NA;0
2021-08-01;MAY;Primo dose efficace;6.63;2.44;0.0;0.0;0.0;0.0;0.0;0.0;14628.67;NA;NA;NA;NA
2021-08-01;NAQ;Primo dose récente;216.21;26.26;18.65;12.23;0.0;0.0;0.0;0.0;383409.07;6.69;9.94;NA;NA
2021-08-01;NAQ;Complet entre 3 mois et 6 mois - sans rappel;342.55;48.94;11.67;4.82;2.63;2.43;1.17;1.17;652965.26;0;0;0;85.47
2021-08-01;OCC;Complet entre 3 mois et 6 mois - sans rappel;368.09;35.69;18.36;7.93;2.7;1.3;0.28;0.0;612293.6;1.29;0;76.92;NA
2021-08-01;OCC;Complet de 6 mois et plus - sans rappel;1.21;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5656.33;NA;NA;NA;NA
2021-08-01;PAC;Primo dose efficace;466.16;31.22;29.51;8.84;4.23;3.37;0.11;0.0;389613.49;4.17;0;0;NA
2021-08-01;PAC;Complet entre 3 mois et 6 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.92;NA;NA;NA;NA
2021-08-01;PDL;Non-vaccinés;1555.29;124.74;86.62;31.71;3.0;3.0;3.0;3.0;1326580.32;1.29;0;0;0
2021-08-01;PDL;Complet de 6 mois et plus - sans rappel;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2100.18;NA;NA;NA;NA
2021-08-02;ARA;Complet entre 3 mois et 6 mois - sans rappel;2568.34;309.79;132.75;62.06;9.14;7.66;0.0;0.0;808581.35;1.37;0.09;0;NA
2021-08-02;ARA;Complet entre 3 mois et 6 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.99;NA;NA;NA;NA
2021-08-02;BFC;Complet de 6 mois et plus - sans rappel;13.96;4.68;0.07;0.07;0.0;0.0;0.0;0.0;3288.39;0;0;NA;NA
2021-08-02;BRE;Complet de moins de 3 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.89;NA;NA;NA;NA
2021-08-02;CVL;Complet de moins de 3 mois - sans rappel;2563.28;240.7;65.87;28.97;5.0;2.0;0.0;0.0;1038792.16;11.97;9.47;0;NA
2021-08-02;CVL;Complet entre 3 mois et 6 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;NA;NA;NA;NA
2021-08-02;GES;Complet entre 3 mois et 6 mois - sans rappel;2005.99;186.43;48.89;23.38;5.23;3.73;1.0;1.0;594538.53;2.32;0;41.67;0
2021-08-02;GUA;Primo dose récente;109.25;20.37;28.92;11.27;0.0;0.0;0.04;0.04;11480.92;10.98;4.83;NA;100
2021-08-02;IDF;Primo dose efficace;6843.04;264.83;332.24;88.28;6.66;5.5;1.0;1.0;1068674.22;8.19;2.95;0;0
2021-08-02;LRE;Non-vaccinés;2839.38;521.94;509.32;240.53;12.89;10.89;4.0;2.0;494832.98;8.01;6.24;21.69;0
2021-08-02;LRE;Complet entre 3 mois et 6 mois - sans rappel;305.38;28.2;18.3;5.77;0.0;0.0;0.0;0.0;34987.84;0;0;NA;NA
2021-08-02;LRE;Complet de 6 mois et plus - sans rappel;0.32;0.21;0.0;0.0;0.0;0.0;0.0;0.0;14.0;NA;NA;NA;NA
2021-08-02;MAY;Complet de 6 mois et plus - sans rappel;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.84;NA;NA;NA;NA
2021-08-02;NOR;Non-vaccinés;4455.28;648.26;438.16;256.96;11.71;11.71;3.5;3.5;1023843.42;6.19;4.61;0;0
2021-08-02;OCC;Non-vaccinés;15855.08;3073.7;3132.36;1774.39;44.37;38.87;18.0;17.0;2158942.45;7.28;5.77;3.42;6.9
2021-08-02;OCC;Complet de 6 mois et plus - sans rappel;105.52;8.17;2.77;1.61;0.0;0.0;0.0;0.0;5910.16;17.93;0;NA;NA
2021-08-02;PAC;Non-vaccinés;20599.2;3437.73;4241.71;1961.51;76.44;65.94;14.7;13.0;1947802.87;1.98;1.3;1.97;0
2021-08-02;PAC;Complet de moins de 3 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.97;NA;NA;NA;NA
2021-08-02;PDL;Primo dose récente;2044.49;121.55;99.67;50.5;0.0;0.0;0.0;0.0;232134.58;10.4;2.8;NA;NA
2021-08-02;PDL;Primo dose efficace;2212.1;167.61;71.5;33.14;3.0;3.0;1.0;1.0;355960.15;0;0;0;NA
2021-08-03;ARA;Primo dose efficace;3451.31;356.78;195.48;93.82;2.29;2.29;0.0;0.0;607701.54;7.29;5.96;0;NA
2021-08-03;BFC;Primo dose récente;823.09;72.07;51.67;27.7;0.25;0.25;1.14;1.0;202734.16;2.3;0;0;NA
2021-08-03;BFC;Primo dose efficace;902.89;98.52;38.45;16.62;2.0;2.0;0.0;0.0;247116.85;0;0;0;NA
2021-08-03;BRE;Complet entre 3 mois et 6 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7;NA;NA;NA;NA
2021-08-03;COR;Primo dose récente;269.73;35.57;31.21;15.96;0.56;0.56;0.0;0.0;23076.61;0;0;0;NA
2021-08-03;COR;Complet de moins de 3 mois - sans rappel;708.28;84.5;39.57;17.41;0.0;0.0;0.0;0.0;102467.22;0;0;NA;NA
2021-08-03;CVL;Complet de moins de 3 mois - sans rappel;1856.6;221.08;58.72;30.36;2.0;0.0;0.0;0.0;1049789.71;2.49;4.23;NA;NA
2021-08-03;CVL;Complet de 6 mois et plus - sans rappel;5.98;0.07;0.0;0.0;0.0;0.0;0.0;0.0;3249.33;NA;NA;NA;NA
2021-08-03;GES;Complet de moins de 3 mois - sans rappel;5210.37;708.99;183.86;77.92;2.0;2.0;0.0;0.0;2159331.82;5.59;2.7;0;NA
2021-08-03;GUY;Non-vaccinés;520.8;92.13;104.71;42.15;9.0;6.0;3.0;0.0;229143.8;0;0;0;NA
2021-08-03;HDF;Primo dose efficace;2077.72;159.44;56.73;24.22;0.09;0.0;0.0;0.0;467517.58;0;0;NA;NA
2021-08-03;IDF;Primo dose efficace;5593.6;223.02;255.18;63.35;9.08;5.0;2.0;2.0;1059619.6;1.53;0;0;0
2021-08-03;IDF;Complet de moins de 3 mois - sans rappel;18170.89;909.88;731.03;161.4;13.28;10.5;3.08;3.08;5000494.34;2.9;4.29;0;0
2021-08-03;IDF;Complet entre 3 mois et 6 mois - avec rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.98;NA;NA;NA;NA
2021-08-03;MAR;Complet de 6 mois et plus - sans rappel;1.31;0.91;0.91;0.91;0.0;0.0;0.0;0.0;147.21;0;0;NA;NA
2021-08-03;MAY;Primo dose efficace;35.15;1.0;0.0;0.0;0.03;0.0;0.0;0.0;14782.55;NA;NA;NA;NA
2021-08-03;NOR;Primo dose récente;976.41;103.22;66.22;38.08;0.0;0.0;0.0;0.0;236812.03;0;0;NA;NA
2021-08-03;PDL;Primo dose efficace;1746.3;142.96;36.36;19.94;1.0;1.0;0.0;0.0;341859.21;0;0;NA;NA
